2022-11-10 15:56:47.247 DEBUG 23647 --- [http-nio-2222-exec-5] o.s.jdbc.core.JdbcTemplate               : Executing prepared SQL statement [select count(1) from (select id, code, name, exchange, abbreviation, state, type, create_time as createTime, update_time as updateTime from stock_info where 1 = 1) _row]
2022-11-10 15:56:47.248 DEBUG 23647 --- [http-nio-2222-exec-5] o.s.jdbc.datasource.DataSourceUtils      : Fetching JDBC Connection from DataSource
2022-11-10 15:56:47.275 DEBUG 23647 --- [http-nio-2222-exec-5] o.s.jdbc.core.JdbcTemplate               : Executing prepared SQL query
2022-11-10 15:56:47.276 DEBUG 23647 --- [http-nio-2222-exec-5] o.s.jdbc.core.JdbcTemplate               : Executing prepared SQL statement [select id, code, name, exchange, abbreviation, state, type, create_time as createTime, update_time as updateTime from stock_info where 1 = 1 limit ?, ?]
2022-11-10 15:56:47.276 DEBUG 23647 --- [http-nio-2222-exec-5] o.s.jdbc.datasource.DataSourceUtils      : Fetching JDBC Connection from DataSource
2022-11-10 15:56:47.281 DEBUG 23647 --- [http-nio-2222-exec-5] o.s.jdbc.core.BeanPropertyRowMapper      : Mapping column 'id' to property 'id' of type 'int'
2022-11-10 15:56:47.283 DEBUG 23647 --- [http-nio-2222-exec-5] o.s.jdbc.core.BeanPropertyRowMapper      : Mapping column 'code' to property 'code' of type 'java.lang.String'
2022-11-10 15:56:47.284 DEBUG 23647 --- [http-nio-2222-exec-5] o.s.jdbc.core.BeanPropertyRowMapper      : Mapping column 'name' to property 'name' of type 'java.lang.String'
2022-11-10 15:56:47.284 DEBUG 23647 --- [http-nio-2222-exec-5] o.s.jdbc.core.BeanPropertyRowMapper      : Mapping column 'exchange' to property 'exchange' of type 'java.lang.String'
2022-11-10 15:56:47.284 DEBUG 23647 --- [http-nio-2222-exec-5] o.s.jdbc.core.BeanPropertyRowMapper      : Mapping column 'abbreviation' to property 'abbreviation' of type 'java.lang.String'
2022-11-10 15:56:47.284 DEBUG 23647 --- [http-nio-2222-exec-5] o.s.jdbc.core.BeanPropertyRowMapper      : Mapping column 'state' to property 'state' of type 'int'
2022-11-10 15:56:47.284 DEBUG 23647 --- [http-nio-2222-exec-5] o.s.jdbc.core.BeanPropertyRowMapper      : Mapping column 'type' to property 'type' of type 'int'
2022-11-10 15:56:47.285 DEBUG 23647 --- [http-nio-2222-exec-5] o.s.jdbc.core.BeanPropertyRowMapper      : Mapping column 'createTime' to property 'createTime' of type 'java.util.Date'
2022-11-10 15:56:47.285 DEBUG 23647 --- [http-nio-2222-exec-5] o.s.jdbc.core.BeanPropertyRowMapper      : Mapping column 'updateTime' to property 'updateTime' of type 'java.util.Date'
2022-11-10 15:56:49.959 DEBUG 23647 --- [http-nio-2222-exec-7] o.s.jdbc.core.JdbcTemplate               : Executing prepared SQL query
2022-11-10 15:56:49.959 DEBUG 23647 --- [http-nio-2222-exec-7] o.s.jdbc.core.JdbcTemplate               : Executing prepared SQL statement [select count(1) from (select s.name, s.abbreviation, d.code, d.date, d.pre_closing_price as preClosingPrice, d.closing_price as closingPrice, d.lowest_price as lowestPrice, d.highest_price as highestPrice, d.opening_price as openingPrice, d.trading_value as tradingValue, d.trading_volume as tradingVolume, d.rurnover_rate as rurnoverRate from daily_index d, stock_info s where d.code = concat(s.exchange, s.code) and date = ? ) _row]
2022-11-10 15:56:49.959 DEBUG 23647 --- [http-nio-2222-exec-7] o.s.jdbc.datasource.DataSourceUtils      : Fetching JDBC Connection from DataSource
2022-11-10 15:56:50.034 DEBUG 23647 --- [http-nio-2222-exec-7] o.s.jdbc.core.JdbcTemplate               : Executing prepared SQL query
2022-11-10 15:56:50.034 DEBUG 23647 --- [http-nio-2222-exec-7] o.s.jdbc.core.JdbcTemplate               : Executing prepared SQL statement [select s.name, s.abbreviation, d.code, d.date, d.pre_closing_price as preClosingPrice, d.closing_price as closingPrice, d.lowest_price as lowestPrice, d.highest_price as highestPrice, d.opening_price as openingPrice, d.trading_value as tradingValue, d.trading_volume as tradingVolume, d.rurnover_rate as rurnoverRate from daily_index d, stock_info s where d.code = concat(s.exchange, s.code) and date = ?  order by tradingValue desc  limit ?, ?]
2022-11-10 15:56:50.034 DEBUG 23647 --- [http-nio-2222-exec-7] o.s.jdbc.datasource.DataSourceUtils      : Fetching JDBC Connection from DataSource
2022-11-10 15:56:50.068 DEBUG 23647 --- [http-nio-2222-exec-7] o.s.jdbc.core.BeanPropertyRowMapper      : Mapping column 'name' to property 'name' of type 'java.lang.String'
2022-11-10 15:56:50.073 DEBUG 23647 --- [http-nio-2222-exec-7] o.s.jdbc.core.BeanPropertyRowMapper      : Mapping column 'abbreviation' to property 'abbreviation' of type 'java.lang.String'
2022-11-10 15:56:50.074 DEBUG 23647 --- [http-nio-2222-exec-7] o.s.jdbc.core.BeanPropertyRowMapper      : Mapping column 'code' to property 'code' of type 'java.lang.String'
2022-11-10 15:56:50.074 DEBUG 23647 --- [http-nio-2222-exec-7] o.s.jdbc.core.BeanPropertyRowMapper      : Mapping column 'date' to property 'date' of type 'java.util.Date'
2022-11-10 15:56:50.075 DEBUG 23647 --- [http-nio-2222-exec-7] o.s.jdbc.core.BeanPropertyRowMapper      : Mapping column 'preClosingPrice' to property 'preClosingPrice' of type 'java.math.BigDecimal'
2022-11-10 15:56:50.076 DEBUG 23647 --- [http-nio-2222-exec-7] o.s.jdbc.core.BeanPropertyRowMapper      : Mapping column 'closingPrice' to property 'closingPrice' of type 'java.math.BigDecimal'
2022-11-10 15:56:50.076 DEBUG 23647 --- [http-nio-2222-exec-7] o.s.jdbc.core.BeanPropertyRowMapper      : Mapping column 'lowestPrice' to property 'lowestPrice' of type 'java.math.BigDecimal'
2022-11-10 15:56:50.077 DEBUG 23647 --- [http-nio-2222-exec-7] o.s.jdbc.core.BeanPropertyRowMapper      : Mapping column 'highestPrice' to property 'highestPrice' of type 'java.math.BigDecimal'
2022-11-10 15:56:50.077 DEBUG 23647 --- [http-nio-2222-exec-7] o.s.jdbc.core.BeanPropertyRowMapper      : Mapping column 'openingPrice' to property 'openingPrice' of type 'java.math.BigDecimal'
2022-11-10 15:56:50.077 DEBUG 23647 --- [http-nio-2222-exec-7] o.s.jdbc.core.BeanPropertyRowMapper      : Mapping column 'tradingValue' to property 'tradingValue' of type 'java.math.BigDecimal'
2022-11-10 15:56:50.077 DEBUG 23647 --- [http-nio-2222-exec-7] o.s.jdbc.core.BeanPropertyRowMapper      : Mapping column 'tradingVolume' to property 'tradingVolume' of type 'long'
